t,c_x,c_y
48548,11664.0009765625,14987.9287109375
48549,11664.0009765625,14987.9287109375
48550,11664.0009765625,14987.9287109375
48551,11664.0009765625,14987.9287109375
48552,11664.0009765625,14987.9287109375
48553,11664.0009765625,14987.9287109375
48554,11664.0009765625,14987.9287109375
48555,11664.0009765625,14987.9287109375
48556,11664.0009765625,14987.9287109375
48557,11664.0009765625,14987.9287109375
48558,11664.0009765625,14987.9287109375
48559,11664.0009765625,14987.9287109375
48560,11664.0009765625,14987.9287109375
48561,11664.0009765625,14987.9287109375
48562,11664.0009765625,14987.9287109375
48563,11664.0009765625,14987.9287109375
48564,11664.0009765625,14987.9287109375
48565,11664.0009765625,14987.9287109375
48566,11664.0009765625,14987.9287109375
48567,11664.0009765625,14987.9287109375
48568,11664.0009765625,14987.9287109375
48569,11664.0009765625,14987.9287109375
48570,11664.0009765625,14987.9287109375
48571,11664.0009765625,14987.9287109375
48572,11664.0009765625,14987.9287109375
48573,11664.0009765625,14987.9287109375
48574,11664.0009765625,14987.9287109375
48575,11664.0009765625,14987.9287109375
48576,11664.0009765625,14987.9287109375
48577,11664.0009765625,14987.9287109375
48578,11664.0009765625,14987.9287109375
48579,11664.0009765625,14987.9287109375
48580,11664.0009765625,14987.9287109375
48581,11664.0009765625,14987.9287109375
48582,11664.0009765625,14987.9287109375
48583,11664.0009765625,14987.9287109375
48584,11664.0009765625,14987.9287109375
48585,11664.0009765625,14987.9287109375
48586,11664.0009765625,14987.9287109375
48587,11664.0009765625,14987.9287109375
48588,11664.0009765625,14987.9287109375
48589,11664.0009765625,14987.9287109375
48590,11664.0009765625,14987.9287109375
48591,11664.0009765625,14987.9287109375
48592,11664.0009765625,14987.9287109375
48593,11664.0009765625,14987.9287109375
48594,11664.0009765625,14987.9287109375
48595,11664.0009765625,14987.9287109375
48596,11664.0009765625,14987.9287109375
48597,11664.0009765625,14987.9287109375
48598,11664.0009765625,14987.9287109375
48599,11664.0009765625,14987.9287109375
48600,11664.0009765625,14987.9287109375
48601,11664.0009765625,14987.9287109375
48602,11664.0009765625,14987.9287109375
48603,11657.056640625,14987.9287109375
48604,11650.1123046875,14987.9287109375
48605,11643.16796875,14987.9287109375
48606,11636.2236328125,14987.9287109375
48607,11629.279296875,14987.9287109375
48608,11622.3349609375,14987.9287109375
48609,11615.390625,14987.9287109375
48610,11608.4462890625,14987.9287109375
48611,11601.501953125,14987.9287109375
48612,11594.5576171875,14987.9287109375
48613,11587.61328125,14987.9287109375
48614,11580.6689453125,14987.9287109375
48615,11573.724609375,14987.9287109375
48616,11566.7802734375,14987.9287109375
48617,11559.8359375,14987.9287109375
48618,11552.8916015625,14987.9287109375
48619,11545.947265625,14987.9287109375
48620,11539.0029296875,14987.9287109375
48621,11532.05859375,14987.9287109375
48622,11525.1142578125,14987.9287109375
48623,11518.169921875,14987.9287109375
48624,11511.2255859375,14987.9287109375
