tiempos_c0,tiempos_c1,tiempos_c2,tiempos_c3,indicador
47464,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,58205,1000000000000,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,55511,1000000000000,1000000000000,False
48155,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,54469,1000000000000,False
1000000000000,1000000000000,1000000000000,57726,False
1000000000000,1000000000000,1000000000000,1000000000000,False
1000000000000,53822,1000000000000,1000000000000,False
1000000000000,1000000000000,57235,1000000000000,False
1000000000000,1000000000000,1000000000000,56087,False
1000000000000,59988,1000000000000,1000000000000,False
52051,1000000000000,1000000000000,1000000000000,True
1000000000000,1000000000000,1000000000000,1000000000000,False
